scenario,scenario_label,initial_belief,gamma,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_b,场景 B,0.25,0.65,5,0.37884468750000017,2.340655447241602e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.65,6,0.39624904687500007,3.344035118257871e-16,0.13749999999999998,0.25000020833333325,0.4583333333333332
scenario_b,场景 B,0.25,0.65,7,0.40756188046875025,2.969740668656851e-16,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.65,8,0.4149152223046877,3.8910979638026595e-16,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.65,9,0.4196948944980472,3.360708199055818e-16,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.65,10,0.4228016814237307,4.180603539356842e-16,0.13749999999999996,0.2500002083333332,0.4583333333333331
scenario_b,场景 B,0.25,0.65,11,0.4248210929254249,4.697051337943675e-16,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.65,12,0.4261337104015264,3.9636655236079065e-16,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.65,13,0.42698691176099224,4.626497570057605e-16,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.65,14,0.42754149264464514,3.8737995934537714e-16,0.13749999999999996,0.25000020833333314,0.458333333333333
scenario_b,场景 B,0.25,0.65,15,0.4279019702190194,4.551862666067293e-16,0.13749999999999993,0.25000020833333314,0.4583333333333329
scenario_b,场景 B,0.25,0.8,1,0.15,0.0,0.1375,0.25000020833333336,0.45833333333333337
scenario_b,场景 B,0.25,0.8,2,0.27000000000000013,-2.2204460492503126e-17,0.13749999999999996,0.2500002083333333,0.4583333333333333
scenario_b,场景 B,0.25,0.8,3,0.36600000000000016,1.4210854715202006e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.8,4,0.4428000000000003,2.19380069665931e-16,0.13749999999999996,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.8,5,0.5042400000000002,4.376943252282218e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.8,6,0.5533920000000003,5.37703215286456e-16,0.13749999999999996,0.25000020833333325,0.4583333333333332
scenario_b,场景 B,0.25,0.8,7,0.5927136000000004,7.578364602522927e-16,0.13749999999999998,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.8,8,0.6241708800000004,8.462038181278334e-16,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.8,9,0.6493367040000004,1.0232633940177043e-15,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.8,10,0.6694693632000004,1.0771718166324723e-15,0.13749999999999996,0.2500002083333332,0.4583333333333331
scenario_b,场景 B,0.25,0.8,11,0.6855754905600006,1.2348598829703409e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.8,12,0.6984603924480003,1.378928982376238e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.8,13,0.7087683139584007,1.3824094507981505e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.8,14,0.7170146511667204,1.5107015467947357e-15,0.13749999999999996,0.25000020833333314,0.458333333333333
scenario_b,场景 B,0.25,0.8,15,0.7236117209333767,1.4988138304579486e-15,0.13749999999999993,0.25000020833333314,0.4583333333333329
scenario_b,场景 B,0.25,0.95,1,0.15,0.0,0.1375,0.25000020833333336,0.45833333333333337
scenario_b,场景 B,0.25,0.95,2,0.29250000000000015,-5.551115123125788e-18,0.13749999999999996,0.2500002083333333,0.4583333333333333
scenario_b,场景 B,0.25,0.95,3,0.4278750000000001,2.0039525594484075e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.95,4,0.5564812500000003,3.8020975257069265e-16,0.13749999999999996,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.95,5,0.6786571875000003,7.5248418607287695e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.95,6,0.7947243281250003,1.0810295367202903e-15,0.13749999999999996,0.25000020833333325,0.4583333333333332
scenario_b,场景 B,0.25,0.95,7,0.9049881117187504,1.5857815165165597e-15,0.13749999999999998,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.95,8,1.009738706132813,2.031804609368276e-15,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.95,9,1.1092517708261722,2.5626722993145326e-15,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.95,10,1.2037891822848639,3.033505316808737e-15,0.13749999999999996,0.2500002083333332,0.4583333333333331
scenario_b,场景 B,0.25,0.95,11,1.2935997231706204,3.650732865539842e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.95,12,1.3789197370120896,4.196785504171809e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.95,13,1.4599737501614851,4.878990560511338e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.95,14,1.5369750626534109,5.480614755522478e-15,0.13749999999999996,0.25000020833333314,0.458333333333333
scenario_b,场景 B,0.25,0.95,15,1.6101263095207403,6.209763568365833e-15,0.13749999999999993,0.25000020833333314,0.4583333333333329
