panel_key,panel_title,parameter_name,parameter_label,scenario,parameter_value,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,mean_attack_probability,terminal_public_belief_mean
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,9,-43.52178533515176,32.06718610844764,-76.465,0.9480555555555557,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,10,-45.48962864599011,33.51710819218049,-84.96111111111111,0.9480555555555557,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,11,-47.16229546020271,34.749541963353415,-93.45722222222221,0.9480555555555555,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,12,-48.58406225228341,35.797110668850394,-101.95333333333332,0.9480555555555555,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,13,-49.79256402555201,36.68754406852283,-110.44944444444442,0.9480555555555554,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,14,-50.81979053283031,37.4444124582444,-118.94555555555553,0.9480555555555554,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,15,-51.69293306401688,38.08775058950774,-127.44166666666663,0.9480555555555554,0.83000017
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,1,-3.546875000000001,2.3000000000000003,-3.546875000000001,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,2,-6.561718750000002,4.255000000000001,-7.093750000000002,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,3,-9.124335937500001,5.91675,-10.640625000000004,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,4,-11.302560546875002,7.3292375000000005,-14.187500000000004,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,5,-13.154051464843752,8.529851875,-17.734375000000004,0.8796875,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,6,-14.72781874511719,9.550374093750001,-21.281250000000004,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,7,-16.065520933349614,10.417817979687502,-24.828125000000004,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,8,-17.20256779334717,11.155145282734377,-28.375000000000004,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,9,-18.169057624345097,11.781873490324221,-31.921875000000004,0.8796875000000001,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,10,-18.990573980693334,12.314592466775588,-35.46875000000001,0.8796875,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,11,-19.688862883589334,12.76740359675925,-39.01562500000001,0.8796875,0.6500003500000001
